method,query file,query column,query selectivity,accuracy,precision,recall,f1 score,time,threshold,dataset name
cms,hrac_classification.csv,hrac_code,medium,1.0,1.0,1.0,1.0,6.4233784675598145,0.7,chembl
cms_sampling,hrac_classification.csv,hrac_code,medium,1.0,1.0,1.0,1.0,3.179938316345215,0.7,chembl
cms_earlystopping,hrac_classification.csv,hrac_code,medium,1.0,1.0,1.0,1.0,0.3389089107513428,0.7,chembl
cms_minhash,hrac_classification.csv,hrac_code,medium,1.0,1.0,1.0,1.0,0.00920414924621582,0.7,chembl
cms_minhash_lsh,hrac_classification.csv,hrac_code,medium,1.0,1.0,1.0,1.0,0.0002276897430419922,0.7,chembl
cms,molecule_irac_classification.csv,irac_class_id,medium,1.0,1.0,1.0,1.0,6.363337516784668,0.7,chembl
cms_sampling,molecule_irac_classification.csv,irac_class_id,medium,1.0,1.0,1.0,1.0,3.16302227973938,0.7,chembl
cms_earlystopping,molecule_irac_classification.csv,irac_class_id,medium,1.0,1.0,1.0,1.0,0.558079719543457,0.7,chembl
cms_minhash,molecule_irac_classification.csv,irac_class_id,medium,0.998165137614679,1.0,0.5,0.6666666666666666,0.009124040603637695,0.7,chembl
cms_minhash_lsh,molecule_irac_classification.csv,irac_class_id,medium,0.998165137614679,1.0,0.5,0.6666666666666666,0.0003476142883300781,0.7,chembl
cms,metabolism.csv,met_id,medium,1.0,1.0,1.0,1.0,6.400416612625122,0.7,chembl
cms_sampling,metabolism.csv,met_id,medium,1.0,1.0,1.0,1.0,3.156402826309204,0.7,chembl
cms_earlystopping,metabolism.csv,met_id,medium,1.0,1.0,1.0,1.0,1.6308872699737549,0.7,chembl
cms_minhash,metabolism.csv,met_id,medium,1.0,1.0,1.0,1.0,0.011505842208862305,0.7,chembl
cms_minhash_lsh,metabolism.csv,met_id,medium,1.0,1.0,1.0,1.0,0.0005145072937011719,0.7,chembl
cms,biotherapeutic_components.csv,component_id,medium,1.0,1.0,1.0,1.0,6.387357950210571,0.7,chembl
cms_sampling,biotherapeutic_components.csv,component_id,medium,1.0,1.0,1.0,1.0,3.1555511951446533,0.7,chembl
cms_earlystopping,biotherapeutic_components.csv,component_id,medium,1.0,1.0,1.0,1.0,1.6253290176391602,0.7,chembl
cms_minhash,biotherapeutic_components.csv,component_id,medium,1.0,1.0,1.0,1.0,0.010674476623535156,0.7,chembl
cms_minhash_lsh,biotherapeutic_components.csv,component_id,medium,1.0,1.0,1.0,1.0,0.0005331039428710938,0.7,chembl
cms,variant_sequences.csv,variant_id,medium,1.0,1.0,1.0,1.0,6.390512466430664,0.7,chembl
cms_sampling,variant_sequences.csv,variant_id,medium,1.0,1.0,1.0,1.0,3.1607582569122314,0.7,chembl
cms_earlystopping,variant_sequences.csv,variant_id,medium,1.0,1.0,1.0,1.0,1.7163677215576172,0.7,chembl
cms_minhash,variant_sequences.csv,variant_id,medium,0.998165137614679,0.6666666666666666,1.0,0.8,0.01101827621459961,0.7,chembl
cms_minhash_lsh,variant_sequences.csv,variant_id,medium,0.998165137614679,0.6666666666666666,1.0,0.8,0.0006175041198730469,0.7,chembl
cms,molecule_atc_classification.csv,level5,medium,1.0,1.0,1.0,1.0,6.3667426109313965,0.7,chembl
cms_sampling,molecule_atc_classification.csv,level5,medium,1.0,1.0,1.0,1.0,3.1588094234466553,0.7,chembl
cms_earlystopping,molecule_atc_classification.csv,level5,medium,1.0,1.0,1.0,1.0,1.7478327751159668,0.7,chembl
cms_minhash,molecule_atc_classification.csv,level5,medium,1.0,1.0,1.0,1.0,0.01139378547668457,0.7,chembl
