query_file,query_column,query_selectivity,lsh_25,lsh_50,lsh_75,lsh_100,search_25,search_50,search_75,search_100,number_of_columns_25,number_of_columns_50,number_of_columns_75,number_of_columns_100,dataset
hrac_classification.csv,hrac_code,medium,0.00016498565673828125,0.0001773834228515625,0.0002079010009765625,0.00020694732666015625,0,0,2.6226043701171875e-05,4.982948303222656e-05,135,269,418,545,chembl
molecule_irac_classification.csv,irac_class_id,medium,0.0001785755157470703,0.00018715858459472656,0.00020241737365722656,0.00021839141845703125,4.673004150390625e-05,2.5510787963867188e-05,0.000152587890625,0.0001742839813232422,133,277,407,545,chembl
research_companies.csv,res_stem_id,medium,0.0001709461212158203,0.00035953521728515625,0.00023674964904785156,0.00022029876708984375,2.384185791015625e-05,0.0001537799835205078,0.00011730194091796875,0.00013303756713867188,140,271,412,545,chembl
metabolism.csv,met_id,medium,0.00019812583923339844,0.00020432472229003906,0.00021910667419433594,0.0002243518829345703,0.00012993812561035156,5.459785461425781e-05,0.0002429485321044922,0.0003249645233154297,151,297,405,545,chembl
biotherapeutic_components.csv,component_id,medium,0.0001819133758544922,0.0002129077911376953,0.00019049644470214844,0.0002067089080810547,6.985664367675781e-05,9.107589721679688e-05,0.00023055076599121094,0.00033164024353027344,132,250,410,545,chembl
variant_sequences.csv,variant_id,medium,0.00019931793212890625,0.00022125244140625,0.00022339820861816406,0.0002465248107910156,0.00012969970703125,0.0001659393310546875,0.0004112720489501953,0.0004363059997558594,152,262,404,545,chembl
molecule_atc_classification.csv,level5,medium,0.00018453598022460938,0.0002086162567138672,0.0002155303955078125,0.00022292137145996094,4.9114227294921875e-05,0.0002448558807373047,0.00028204917907714844,0.0003943443298339844,129,290,413,545,chembl
atc_classification.csv,level5,medium,0.00018739700317382812,0.000202178955078125,0.00021266937255859375,0.00021505355834960938,0.00012922286987304688,0.0003209114074707031,0.00047659873962402344,0.0006644725799560547,123,285,407,545,chembl
molecule_dictionary.csv,usan_stem,medium,0.00017309188842773438,0.0002079010009765625,0.000217437744140625,0.00020885467529296875,0,4.673004150390625e-05,4.57763671875e-05,4.601478576660156e-05,145,290,399,545,chembl
activity_supp.csv,standard_text_value,medium,0.00017118453979492188,0.00018978118896484375,0.00020885467529296875,0.00018477439880371094,0,5.6743621826171875e-05,2.6941299438476562e-05,5.125999450683594e-05,136,258,416,545,chembl
activity_supp.csv,text_value,medium,0.00018477439880371094,0.00018644332885742188,0.00020694732666015625,0.0001964569091796875,2.6226043701171875e-05,0,5.340576171875e-05,5.2928924560546875e-05,133,288,411,545,chembl
products.csv,product_id,medium,0.00018548965454101562,0.00021386146545410156,0.00021910667419433594,0.0002181529998779297,0.00011086463928222656,0.00025177001953125,0.0003199577331542969,0.00047326087951660156,134,275,391,545,chembl
products.csv,topical,medium,0.00018978118896484375,0.00018024444580078125,0.00020432472229003906,0.0001983642578125,0,0,5.054473876953125e-05,4.601478576660156e-05,150,265,410,545,chembl
products.csv,parenteral,medium,0.00018978118896484375,0.00019550323486328125,0.0002186298370361328,0.0002269744873046875,2.47955322265625e-05,4.57763671875e-05,2.3603439331054688e-05,6.842613220214844e-05,148,259,421,545,chembl
activities.csv,text_value,medium,0.00016999244689941406,0.00017189979553222656,0.00018906593322753906,0.0001957416534423828,2.3126602172851562e-05,2.2172927856445312e-05,4.5299530029296875e-05,4.291534423828125e-05,147,269,413,545,chembl
go_classification.csv,class_level,high,0.0001666545867919922,0.00018596649169921875,0.00020551681518554688,0.00018835067749023438,0,2.3603439331054688e-05,2.574920654296875e-05,2.4318695068359375e-05,112,252,411,545,chembl
chembl_release.csv,creation_date,high,0.00016736984252929688,0.00019788742065429688,0.0001876354217529297,0.00019884109497070312,0,2.4080276489257812e-05,0,2.5510787963867188e-05,136,273,393,545,chembl
irac_classification.csv,active_ingredient,high,0.00017452239990234375,0.0002543926239013672,0.00018548965454101562,0.00018978118896484375,2.3126602172851562e-05,2.3365020751953125e-05,0,3.0040740966796875e-05,137,263,409,545,chembl
go_classification.csv,path,high,0.00018095970153808594,0.0002770423889160156,0.00018477439880371094,0.0002028942108154297,2.3603439331054688e-05,2.4318695068359375e-05,2.3126602172851562e-05,2.3126602172851562e-05,126,261,414,545,chembl
molecule_frac_classification.csv,molregno,high,0.0001785755157470703,0.0002715587615966797,0.00022482872009277344,0.0002090930938720703,2.4318695068359375e-05,4.100799560546875e-05,3.218650817871094e-05,2.6226043701171875e-05,136,256,418,545,chembl
chembl_release.csv,chembl_release_id,high,0.00016570091247558594,0.00019359588623046875,0.00020051002502441406,0.00036644935607910156,0,4.6253204345703125e-05,4.601478576660156e-05,8.320808410644531e-05,152,260,436,545,chembl
relationship_type.csv,relationship_type,high,0.00017189979553222656,0.0003147125244140625,0.00021123886108398438,0.0001971721649169922,0,4.696846008300781e-05,2.6226043701171875e-05,2.574920654296875e-05,137,266,419,545,chembl
metabolism.csv,enzyme_name,high,0.0001659393310546875,0.00020265579223632812,0.000209808349609375,0.000232696533203125,0,2.6941299438476562e-05,2.9087066650390625e-05,2.4318695068359375e-05,130,254,401,545,chembl
bio_component_sequences.csv,sequence,high,0.00019741058349609375,0.0002028942108154297,0.0002028942108154297,0.00018978118896484375,4.744529724121094e-05,6.341934204101562e-05,0.00010251998901367188,0.00010323524475097656,141,281,419,545,chembl
organism_class.csv,l2,high,0.0001728534698486328,0.00020456314086914062,0.0002048015594482422,0.00018858909606933594,0,2.6941299438476562e-05,2.5510787963867188e-05,2.574920654296875e-05,145,251,415,545,chembl
