file_name,column_name,tmh_matches,ground_truth,TP,FP,FN,TN,precision,recall,f1_score,accuracy
metabolism.csv,met_id,4,2,2,3,0,540,0.4,1,0.571428571428571,0.994495412844037
molecule_dictionary.csv,usan_stem,1,2,2,0,0,543,1,1,1,1
atc_classification.csv,level5,1,2,2,0,0,543,1,1,1,1
products.csv,product_id,1,2,2,0,0,543,1,1,1,1
research_companies.csv,res_stem_id,5,4,4,2,0,539,0.666666666666667,1,0.8,0.996330275229358
activity_supp.csv,standard_text_value,3,2,2,2,0,541,0.5,1,0.666666666666667,0.996330275229358
variant_sequences.csv,variant_id,5,2,2,4,0,539,0.333333333333333,1,0.5,0.992660550458715
activities.csv,text_value,1,2,2,0,0,543,1,1,1,1
products.csv,topical,2,2,2,1,0,542,0.666666666666667,1,0.8,0.998165137614679
biotherapeutic_components.csv,component_id,1,2,2,0,0,543,1,1,1,1
activity_supp.csv,text_value,3,2,2,2,0,541,0.5,1,0.666666666666667,0.996330275229358
hrac_classification.csv,hrac_code,3,2,2,2,0,541,0.5,1,0.666666666666667,0.996330275229358
molecule_irac_classification.csv,irac_class_id,7,2,2,6,0,537,0.25,1,0.4,0.988990825688073
products.csv,parenteral,2,2,2,1,0,542,0.666666666666667,1,0.8,0.998165137614679
molecule_atc_classification.csv,level5,1,2,2,0,0,543,1,1,1,1
go_classification.csv,class_level,0,1,1,0,0,544,1,1,1,1
irac_classification.csv,active_ingredient,0,1,1,0,0,544,1,1,1,1
bio_component_sequences.csv,sequence,0,1,1,0,0,544,1,1,1,1
metabolism.csv,enzyme_name,0,1,1,0,0,544,1,1,1,1
go_classification.csv,path,1,1,1,1,0,543,0.5,1,0.666666666666667,0.998165137614679
chembl_release.csv,chembl_release_id,0,1,1,0,0,544,1,1,1,1
chembl_release.csv,creation_date,0,1,1,0,0,544,1,1,1,1
molecule_frac_classification.csv,molregno,0,1,1,0,0,544,1,1,1,1
molecule_dictionary.csv,first_approval,0,1,1,0,0,544,1,1,1,1
products.csv,route,0,1,1,0,0,544,1,1,1,1
products.csv,innovator_company,0,1,1,0,0,544,1,1,1,1
relationship_type.csv,relationship_type,1,1,1,1,0,543,0.5,1,0.666666666666667,0.998165137614679
protein_class_synonyms.csv,protein_class_id,3,1,1,3,0,541,0.25,1,0.4,0.994495412844037
organism_class.csv,l2,0,1,1,0,0,544,1,1,1,1
biotherapeutics.csv,helm_notation,0,1,1,0,0,544,1,1,1,1
target_components.csv,homologue,4,4,4,1,0,540,0.8,1,0.888888888888889,0.998165137614679
hrac_classification.csv,hrac_class_id,4,4,4,1,0,540,0.8,1,0.888888888888889,0.998165137614679
molecule_irac_classification.csv,mol_irac_id,7,5,5,3,0,537,0.625,1,0.769230769230769,0.994495412844037
product_patents.csv,drug_substance_flag,4,4,4,1,0,540,0.8,1,0.888888888888889,0.998165137614679
irac_classification.csv,irac_class_id,6,5,5,2,0,538,0.714285714285714,1,0.833333333333333,0.996330275229358
assays.csv,assay_group,0,1,1,0,0,544,1,1,1,1
research_stem.csv,res_stem_id,5,5,5,1,0,539,0.833333333333333,1,0.909090909090909,0.998165137614679
research_companies.csv,co_stem_id,5,5,5,1,0,539,0.833333333333333,1,0.909090909090909,0.998165137614679
product_patents.csv,delist_flag,4,4,4,1,0,540,0.8,1,0.888888888888889,0.998165137614679
molecule_frac_classification.csv,mol_frac_id,5,4,4,2,0,539,0.666666666666667,1,0.8,0.996330275229358
drug_mechanism.csv,molecular_mechanism,2,3,3,0,0,542,1,1,1,1
activity_stds_lookup.csv,std_act_id,5,4,4,2,0,539,0.666666666666667,1,0.8,0.996330275229358
molecule_hrac_classification.csv,mol_hrac_id,8,6,6,3,0,536,0.666666666666667,1,0.8,0.994495412844037
assay_classification.csv,assay_class_id,3,4,4,0,0,541,1,1,1,1
drug_mechanism.csv,direct_interaction,2,3,3,0,0,542,1,1,1,1
